,Temperatur,Witterung,Mensch,Zeit,Wasser,Energie
2022-02-01,0,0,0,0,0,1
2022-02-02,0,0,0,0,0,1
2022-02-21,0,0,0,0,0,1
2022-03-09,0,0,0,0,0,1
2022-03-12,0,0,0,0,0,1
2022-03-17,0,0,0,0,0,1
2022-03-23,0,0,0,0,0,1
2022-05-05,0,0,0,0,0,1
2022-05-11,0,0,0,0,0,1
2022-05-21,0,0,0,0,0,1
2022-05-25,0,0,0,0,0,1
2022-05-27,0,0,0,0,0,1
2022-06-15,0,0,0,0,0,2
2022-06-17,0,0,0,0,0,1
2022-06-19,0,0,0,0,0,1
2022-06-24,0,0,0,0,0,1
2022-06-28,0,0,0,0,0,1
2022-06-29,0,0,0,0,0,2
2022-07-01,0,0,0,0,0,1
2022-07-03,1,0,0,0,0,0
2022-07-04,0,0,0,0,0,2
2022-07-07,0,0,0,0,0,1
2022-07-08,0,0,0,0,0,4
2022-07-09,0,0,0,0,0,1
2022-07-10,0,0,0,0,0,2
2022-07-12,0,0,0,1,0,4
2022-07-13,0,0,0,0,0,4
2022-07-14,0,0,0,0,0,2
2022-07-15,0,0,0,1,0,1
2022-07-18,0,0,0,1,0,2
2022-07-19,0,0,0,2,0,3
2022-07-21,0,0,0,0,0,2
2022-07-22,0,0,0,0,0,1
2022-07-25,0,0,0,1,0,3
2022-07-26,0,0,0,0,0,1
2022-07-27,0,0,0,0,0,1
2022-07-28,0,0,0,1,0,2
2022-07-29,0,0,0,0,0,1
2022-07-31,0,0,0,1,0,1
2022-08-01,0,0,0,0,0,1
2022-08-03,0,0,0,0,0,1
2022-08-04,0,0,0,0,0,1
2022-08-05,0,0,0,0,0,1
2022-08-07,0,0,0,0,0,1
2022-08-10,0,0,0,1,0,2
2022-08-14,0,0,0,1,0,2
2022-08-18,0,0,0,0,0,1
2022-08-22,0,0,0,0,0,1
2022-08-24,0,0,0,0,0,2
2022-08-27,0,0,0,1,0,1
2022-08-29,0,0,0,0,0,1
2022-08-31,0,0,0,1,0,1
2022-09-01,0,0,0,0,0,1
2022-09-02,0,0,0,0,0,1
2022-09-05,0,0,0,1,0,3
2022-09-07,0,0,0,1,0,0
2022-09-09,0,0,0,0,0,1
2022-09-15,0,0,0,0,0,2
2022-09-19,1,0,0,2,0,2
2022-09-20,0,0,0,1,0,3
2022-09-21,0,0,0,0,0,1
2022-09-22,0,0,0,0,0,1
2022-09-23,0,0,0,1,0,1
2022-09-25,0,0,0,1,0,5
2022-09-26,0,0,0,0,0,6
2022-09-27,0,0,0,0,0,12
2022-09-28,0,0,0,2,0,9
2022-09-29,0,0,0,3,0,16
2022-09-30,0,0,0,6,0,14
2022-10-01,0,0,0,1,0,5
2022-10-02,0,0,0,0,0,10
2022-10-03,0,0,0,2,0,5
2022-10-04,0,0,0,3,0,6
2022-10-05,0,0,0,2,0,11
2022-10-06,0,0,0,2,0,11
2022-10-07,0,0,1,4,0,24
2022-10-08,0,0,0,1,0,3
2022-10-09,2,0,0,2,0,3
2022-10-10,0,0,0,5,0,33
2022-10-11,3,1,1,3,0,17
2022-10-12,0,0,0,4,1,19
2022-10-13,0,0,0,5,0,30
2022-10-14,0,1,0,5,1,13
2022-10-15,0,0,0,2,0,5
2022-10-16,0,0,0,4,0,6
2022-10-17,0,0,0,4,0,12
2022-10-18,0,0,0,8,0,25
2022-10-19,2,0,0,7,0,29
2022-10-20,0,0,0,13,0,34
2022-10-21,1,0,0,7,0,36
2022-10-22,0,0,0,3,1,13
2022-10-23,0,0,0,4,0,8
2022-10-24,0,1,0,7,2,13
2022-10-25,0,0,0,13,3,29
2022-10-26,0,0,0,2,0,23
2022-10-27,0,0,1,4,4,26
2022-10-28,1,0,0,6,1,7
2022-10-29,2,1,0,11,1,6
2022-10-30,0,0,0,2,0,8
2022-10-31,0,0,0,6,1,28
2022-11-01,0,1,0,2,2,22
2022-11-02,0,0,0,7,0,22
2022-11-03,1,0,0,7,9,18
2022-11-04,1,0,0,6,2,17
2022-11-05,2,0,0,11,7,12
2022-11-06,0,1,0,4,5,14
2022-11-07,3,1,0,14,6,22
2022-11-08,0,0,1,12,1,21
2022-11-09,1,1,1,9,0,15
2022-11-10,0,1,1,6,2,27
2022-11-11,2,2,1,2,2,16
2022-11-12,0,1,0,3,1,6
2022-11-13,0,0,0,1,0,7
2022-11-14,1,0,0,7,3,28
2022-11-15,0,1,2,6,4,16
2022-11-16,0,0,0,8,5,21
2022-11-17,2,2,1,8,5,15
2022-11-18,7,3,1,21,15,21
